seed,run_date,run,target,driver,sobol_first_order
20260916,2026-09-16,por,terminal_cash_rank,price_uk_tut_gbp,0.004851
20260916,2026-09-16,por,terminal_cash_rank,price_uk_sw_gbp,0.000443
20260916,2026-09-16,por,terminal_cash_rank,price_rel_us,0.001051
20260916,2026-09-16,por,terminal_cash_rank,price_rel_in,0.000000
20260916,2026-09-16,por,terminal_cash_rank,price_rel_row,0.000184
20260916,2026-09-16,por,terminal_cash_rank,price_drift_yr,0.001565
20260916,2026-09-16,por,terminal_cash_rank,overage_price_frac,0.000137
20260916,2026-09-16,por,terminal_cash_rank,sessions_per_hh_month,0.001092
20260916,2026-09-16,por,terminal_cash_rank,sessions_cv,0.000000
20260916,2026-09-16,por,terminal_cash_rank,usage_season_amp,0.000000
20260916,2026-09-16,por,terminal_cash_rank,churn_base,0.008292
20260916,2026-09-16,por,terminal_cash_rank,churn_m1_extra,0.001449
20260916,2026-09-16,por,terminal_cash_rank,summer_lapse_pre,0.000862
20260916,2026-09-16,por,terminal_cash_rank,progress_continue,0.000576
20260916,2026-09-16,por,terminal_cash_rank,alevel_continue,0.000395
20260916,2026-09-16,por,terminal_cash_rank,alevel_exit_rate,0.000945
20260916,2026-09-16,por,terminal_cash_rank,exam_carryover,0.000150
20260916,2026-09-16,por,terminal_cash_rank,turns_per_session,0.000154
20260916,2026-09-16,por,terminal_cash_rank,tok_in_per_turn,0.000000
20260916,2026-09-16,por,terminal_cash_rank,tok_out_per_turn,0.000000
20260916,2026-09-16,por,terminal_cash_rank,price_in_mtok_usd,0.000906
20260916,2026-09-16,por,terminal_cash_rank,price_out_mtok_usd,0.000627
20260916,2026-09-16,por,terminal_cash_rank,verify_overhead,0.000000
20260916,2026-09-16,por,terminal_cash_rank,gate_fire_rate,0.000000
20260916,2026-09-16,por,terminal_cash_rank,infer_decline_yr,0.000000
20260916,2026-09-16,por,terminal_cash_rank,support_min_hh_month,0.000000
20260916,2026-09-16,por,terminal_cash_rank,support_usd_hr,0.000107
20260916,2026-09-16,por,terminal_cash_rank,pay_pct,0.000613
20260916,2026-09-16,por,terminal_cash_rank,pay_fixed_usd,0.000000
20260916,2026-09-16,por,terminal_cash_rank,hosting_hh_usd,0.000768
20260916,2026-09-16,por,terminal_cash_rank,verif_cost_usd,0.000157
20260916,2026-09-16,por,terminal_cash_rank,minutes_per_item,0.071744
20260916,2026-09-16,por,terminal_cash_rank,examiner_rate_gbp_hr,0.037304
20260916,2026-09-16,por,terminal_cash_rank,writer_gbp_item,0.077215
20260916,2026-09-16,por,terminal_cash_rank,items_per_unit,0.153701
20260916,2026-09-16,por,terminal_cash_rank,board_reuse,0.058234
20260916,2026-09-16,por,terminal_cash_rank,market_reuse,0.016416
20260916,2026-09-16,por,terminal_cash_rank,reval_frac_yr,0.011309
20260916,2026-09-16,por,terminal_cash_rank,eng_usd_yr,0.032770
20260916,2026-09-16,por,terminal_cash_rank,uk_gbp_yr,0.002886
20260916,2026-09-16,por,terminal_cash_rank,overhead_mult,0.003947
20260916,2026-09-16,por,terminal_cash_rank,units_per_content_head,0.015743
20260916,2026-09-16,por,terminal_cash_rank,eng_ramp_mult,0.005258
20260916,2026-09-16,por,terminal_cash_rank,cac_anchor_usd,0.109749
20260916,2026-09-16,por,terminal_cash_rank,cac_rel_us,0.001199
20260916,2026-09-16,por,terminal_cash_rank,cac_rel_in,0.000000
20260916,2026-09-16,por,terminal_cash_rank,cac_rel_row,0.000625
20260916,2026-09-16,por,terminal_cash_rank,sat_kappa,0.006412
20260916,2026-09-16,por,terminal_cash_rank,cac_ref_spend_usd,0.024013
