seed,run_date,scope,driver1,q1,value1,driver2,q2,value2,terminal_cash_median,terminal_cash_mean,peak_funding_p80,share_reaching_profitability,final_year_effective_cac_mean
20260916,2026-09-16,plan_of_record,cac_anchor_usd,95,112.630952,price_uk_tut_gbp,20,20.687352,-22688560.094419,-24036990.862763,30409769.025684,0.001350,64.789642
20260916,2026-09-16,plan_of_record,cac_anchor_usd,95,112.630952,price_uk_tut_gbp,40,23.649951,-22535043.506594,-23883965.210258,30258570.991279,0.003050,70.494204
20260916,2026-09-16,plan_of_record,cac_anchor_usd,95,112.630952,price_uk_tut_gbp,60,27.007827,-22351636.469289,-23676155.844175,30080241.806146,0.006550,76.783289
20260916,2026-09-16,plan_of_record,cac_anchor_usd,95,112.630952,price_uk_tut_gbp,80,31.351533,-22084002.014360,-23350744.646019,29832657.116979,0.013700,84.784301
20260916,2026-09-16,plan_of_record,cac_anchor_usd,95,112.630952,price_uk_tut_gbp,95,36.590349,-21691623.220233,-22867350.211457,29474672.485461,0.030100,94.348236
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,5,9.221902,price_uk_tut_gbp,5,17.304886,1261661.236986,9226101.459913,3566642.044100,0.855550,43.426046
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,5,9.221902,price_uk_tut_gbp,20,20.687352,4227516.261413,15554907.139947,2649671.407908,0.903300,52.009979
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,5,9.221902,price_uk_tut_gbp,40,23.649951,7051648.963869,21549306.212517,2290211.932740,0.930900,59.486840
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,5,9.221902,price_uk_tut_gbp,60,27.007827,10438931.630682,28744272.827512,2089616.352291,0.953400,67.786672
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,5,9.221902,price_uk_tut_gbp,80,31.351533,15149037.727696,38597325.580947,1958357.086922,0.970050,78.566547
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,5,9.221902,price_uk_tut_gbp,95,36.590349,21221815.887623,51096129.952207,1865473.293759,0.983000,91.386794
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,20,13.995872,price_uk_tut_gbp,5,17.304886,-1835174.185804,2750057.965963,4822421.467857,0.720050,41.978556
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,20,13.995872,price_uk_tut_gbp,20,20.687352,117568.855150,7037325.458410,4068315.441652,0.801400,50.557393
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,20,13.995872,price_uk_tut_gbp,40,23.649951,1997591.994190,11242643.667762,3393569.954451,0.843750,58.067256
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,20,13.995872,price_uk_tut_gbp,60,27.007827,4324661.739319,16449636.248731,2755754.881670,0.883500,66.771931
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,20,13.995872,price_uk_tut_gbp,80,31.351533,7574605.827456,23775848.175804,2335773.476880,0.917600,77.766648
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,20,13.995872,price_uk_tut_gbp,95,36.590349,11763445.565319,33368573.251944,2099179.112580,0.946150,91.053611
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,40,24.401178,price_uk_tut_gbp,5,17.304886,-4246352.104756,-2811049.434676,6015444.823343,0.450850,39.896855
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,40,24.401178,price_uk_tut_gbp,20,20.687352,-3465026.270125,-864366.124398,5549169.044622,0.559350,47.695331
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,40,24.401178,price_uk_tut_gbp,40,23.649951,-2665631.759940,1185068.023469,5145241.866433,0.637050,54.651353
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,40,24.401178,price_uk_tut_gbp,60,27.007827,-1577276.601763,3872253.110195,4687594.569066,0.708550,62.545007
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,40,24.401178,price_uk_tut_gbp,80,31.351533,62922.559265,7876866.586661,4088572.797955,0.777450,73.196098
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,40,24.401178,price_uk_tut_gbp,95,36.590349,2361025.060329,13421969.358480,3370924.152339,0.832450,86.167555
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,60,42.593896,price_uk_tut_gbp,5,17.304886,-5305524.293518,-5134587.010796,6731559.787222,0.180350,39.765216
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,60,42.593896,price_uk_tut_gbp,20,20.687352,-4946915.741709,-4484606.718941,6470326.644428,0.273250,46.905455
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,60,42.593896,price_uk_tut_gbp,40,23.649951,-4617511.680342,-3769863.467850,6236509.664233,0.346100,53.176881
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,60,42.593896,price_uk_tut_gbp,60,27.007827,-4217422.091781,-2787637.098905,5969525.251878,0.427550,60.350039
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,60,42.593896,price_uk_tut_gbp,80,31.351533,-3620720.495499,-1237246.471782,5614519.490145,0.520700,69.708862
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,60,42.593896,price_uk_tut_gbp,95,36.590349,-2798008.194212,1056711.274498,5206501.267961,0.613750,81.269481
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,80,73.134412,price_uk_tut_gbp,5,17.304886,-5767446.733803,-5838803.794067,7092894.812471,0.037300,41.103642
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,80,73.134412,price_uk_tut_gbp,20,20.687352,-5620293.231528,-5644405.806821,6969646.183979,0.075500,48.328327
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,80,73.134412,price_uk_tut_gbp,40,23.649951,-5473230.932928,-5427047.248194,6859305.735454,0.116300,54.532268
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,80,73.134412,price_uk_tut_gbp,60,27.007827,-5275837.299649,-5125609.284637,6713325.037398,0.168500,61.471592
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,80,73.134412,price_uk_tut_gbp,80,31.351533,-5007715.677582,-4644178.777627,6508674.122951,0.242950,70.364383
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,80,73.134412,price_uk_tut_gbp,95,36.590349,-4662737.268526,-3917730.087215,6265828.604104,0.328100,81.047412
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,95,112.630952,price_uk_tut_gbp,5,17.304886,-5922217.842527,-6020291.511237,7216898.443015,0.005050,42.341941
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,95,112.630952,price_uk_tut_gbp,20,20.687352,-5853466.408997,-5949194.812249,7167693.882083,0.014250,49.938122
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,95,112.630952,price_uk_tut_gbp,40,23.649951,-5789251.103091,-5868868.113730,7111084.128249,0.028050,56.425192
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,95,112.630952,price_uk_tut_gbp,60,27.007827,-5702356.708612,-5756391.720647,7034439.515317,0.050100,63.624879
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,95,112.630952,price_uk_tut_gbp,80,31.351533,-5571186.583137,-5575802.743967,6934490.921187,0.088900,72.749471
20260916,2026-09-16,gtm_minimum_uk_one_board,cac_anchor_usd,95,112.630952,price_uk_tut_gbp,95,36.590349,-5395598.726421,-5302838.711525,6796491.288162,0.140100,83.545794
